[START OF SIMULATION]
[0x00000000]	call r0,r0,0x00BA   R0=(PC+4)>>2=0x00000000,PC=(R0+0x00BA)<<2=0x000002E8
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000155EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000155F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000155F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000155F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000155FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015600]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015604]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015608]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001560C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015610]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015614]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015618]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001561C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015620]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015624]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015628]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001562C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015630]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015634]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015638]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001563C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015640]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015644]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015648]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001564C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015650]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015654]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015658]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001565C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015660]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015664]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015668]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001566C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015670]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015674]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015678]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001567C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015680]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015684]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015688]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001568C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015690]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015694]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015698]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001569C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000156A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000156A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000156A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000156AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000156B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000156B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000156B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000156BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000156C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000156C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000156C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000156CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000156D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000156D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000156D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000156DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000156E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000156E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000156E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000156EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000156F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000156F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000156F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000156FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015700]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015704]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015708]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001570C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015710]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015714]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015718]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001571C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015720]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015724]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015728]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001572C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015730]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015734]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015738]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001573C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015740]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015744]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015748]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001574C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015750]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015754]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015758]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001575C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015760]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015764]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015768]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001576C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015770]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015774]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015778]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001577C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015780]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015784]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015788]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001578C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015790]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015794]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015798]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001579C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000157A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000157A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000157A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000157AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000157B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000157B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000157B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000157BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000157C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000157C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000157C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000157CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000157D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000157D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000157D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000157DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000157E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000157E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000157E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000157EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000157F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000157F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000157F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000157FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015800]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015804]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015808]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001580C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015810]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015814]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015818]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001581C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015820]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015824]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015828]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001582C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015830]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015834]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015838]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001583C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015840]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015844]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015848]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001584C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015850]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015854]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015858]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001585C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015860]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015864]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015868]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001586C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015870]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015874]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015878]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001587C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015880]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015884]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015888]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001588C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015890]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015894]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015898]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001589C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000158A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000158A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000158A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000158AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000158B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000158B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000158B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000158BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000158C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000158C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000158C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000158CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000158D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000158D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000158D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000158DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000158E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000158E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000158E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000158EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000158F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000158F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000158F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000158FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015900]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015904]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015908]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001590C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015910]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015914]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015918]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001591C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015920]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015924]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015928]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001592C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015930]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015934]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015938]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001593C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015940]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015944]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015948]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001594C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015950]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015954]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015958]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001595C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015960]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015964]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015968]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001596C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015970]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015974]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015978]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001597C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015980]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015984]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015988]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001598C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015990]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015994]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015998]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0001599C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000159A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000159A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000159A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000159AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000159B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000159B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000159B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000159BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000159C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000159C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000159C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000159CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000159D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000159D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000159D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000159DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000159E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000159E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000159E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000159EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000159F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000159F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000159F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000159FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A00]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A04]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A08]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A0C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A10]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A14]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A18]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A1C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A20]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A24]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A28]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A2C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A30]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A34]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A38]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A3C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A40]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A44]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A48]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A4C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A50]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A54]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A58]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A5C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A60]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A64]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A68]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00015A6C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00015A70]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00015A74]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00015A78]=0x0000001C
